crop	region	year	mean_phylogenetic_distance	max_T	min_T	mean_T	prt	SR/Abundance	AB_100	AB_75	SR_100	SR_75			
Cucurbita_pepo	Kenitra	2018	 117.00 	26.22	14.86	20.54	60	FAP5-Control3	-4	-6	-1	-1			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP1-Control1	-6	-4	-1	-1			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP1-Control2	0	0	0	0			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP1-Control3	-3	-1	0	0			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP2-Control1	-5	-4	-1	-1			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP2-Control2	1	0	0	0			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP2-Control3	-2	-1	0	0			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP3-Control1	-3	-3	0	0			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP3-Control2	3	1	1	1			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP3-Control3	0	1	1	1			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP4-Control1	-4	-4	-1	-1			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP4-Control2	2	0	0	0			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP4-Control3	-2	-1	0	0			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP5-Control1	-4	-4	0	-1			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP5-Control2	2	0	1	0			
Cucurbita_pepo	Kenitra	2019	 118.40 	21.26	10.46	15.86	85.4	FAP5-Control3	-2	-1	0	0			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP1-Control1	21	0	4	0			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP1-Control2	19	-1	3	0			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP1-Control3	22	2	4	0			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP2-Control1	36	1	5	1			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP2-Control2	34	0	4	0			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP2-Control3	37	3	5	1			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP3-Control1	30	2	2	0			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP3-Control2	28	1	2	-1			
solanum_melongena	Kenitra	2018	 95.28 	30.18	18.84	24.51	0.2	FAP3-Control3	31	4	2	0			
